LAND_YEAR,COMMON_NAME,guild,total_live_lbs,total_dollars,n_dealers,is_confidential
1977,"GROUPER, GOLIATH",Snappers & Groupers,222150,42301,41,FALSE
1977,"GROUPER, WARSAW",Snappers & Groupers,183588,62666.99999999999,42,FALSE
1977,"JACK, CREVALLE",Jacks,1432973.9999999998,116642,57,FALSE
1977,"SNAPPER, LANE",Snappers & Groupers,14966.999999999998,5859,24,FALSE
1977,"TILEFISH, GOLDEN",Other Reef Fish,97145,34805,35,FALSE
1978,"GROUPER, GOLIATH",Snappers & Groupers,196832,32564.999999999996,44,FALSE
1978,"GROUPER, WARSAW",Snappers & Groupers,131165.99999999997,51508.99999999999,44,FALSE
1978,"JACK, CREVALLE",Jacks,1807307.9999999998,161572.99999999994,60,FALSE
1978,"SNAPPER, LANE",Snappers & Groupers,16878,7493.999999999998,32,FALSE
1978,"TILEFISH, GOLDEN",Other Reef Fish,81886,30970,42,FALSE
1979,"GROUPER, GOLIATH",Snappers & Groupers,162761.00000000003,32799.99999999999,41,FALSE
1979,"GROUPER, WARSAW",Snappers & Groupers,134259.00000000003,67034,37,FALSE
1979,"JACK, CREVALLE",Jacks,1364907.9999999998,139576,54,FALSE
1979,"SNAPPER, LANE",Snappers & Groupers,34590,26830.999999999996,32,FALSE
1979,"TILEFISH, GOLDEN",Other Reef Fish,76671,38238,27,FALSE
1980,"GROUPER, GOLIATH",Snappers & Groupers,204762.00000000006,53728.99999999999,53,FALSE
1980,"GROUPER, WARSAW",Snappers & Groupers,120039.99999999999,64988,44,FALSE
1980,"JACK, CREVALLE",Jacks,2630777,362829.00000000006,67,FALSE
1980,"SNAPPER, LANE",Snappers & Groupers,25640.000000000004,18836,30,FALSE
1980,"TILEFISH, GOLDEN",Other Reef Fish,66400,41417,40,FALSE
1981,"GROUPER, GOLIATH",Snappers & Groupers,181300.99999999994,70119.17343254667,45,FALSE
1981,"GROUPER, WARSAW",Snappers & Groupers,292837,176173.25844395897,53,FALSE
1981,"JACK, CREVALLE",Jacks,1946951.9999999998,273117,63,FALSE
1981,"SNAPPER, LANE",Snappers & Groupers,31371,35281.10919643822,33,FALSE
1981,"TILEFISH, GOLDEN",Other Reef Fish,451321,267789,52,FALSE
1982,"GROUPER, GOLIATH",Snappers & Groupers,169070.99999999997,71184.2699050989,49,FALSE
1982,"GROUPER, WARSAW",Snappers & Groupers,230796,150430.48090940644,46,FALSE
1982,"JACK, CREVALLE",Jacks,1999479.9999999998,342613.99999999994,60,FALSE
1982,"SNAPPER, LANE",Snappers & Groupers,29383,23315.362880834105,39,FALSE
1982,"TILEFISH, GOLDEN",Other Reef Fish,399229,268296,62,FALSE
1983,"GROUPER, GOLIATH",Snappers & Groupers,184979.99999999997,82932.4,54,FALSE
1983,"GROUPER, WARSAW",Snappers & Groupers,107462,76979.07463197535,57,FALSE
1983,"JACK, CREVALLE",Jacks,1559072.9999999998,261674.99999999997,71,FALSE
1983,"SNAPPER, LANE",Snappers & Groupers,22312,18924.988633976704,46,FALSE
1983,"TILEFISH, GOLDEN",Other Reef Fish,288613.99999999994,225568.99999999997,66,FALSE
1984,"GROUPER, GOLIATH",Snappers & Groupers,92577,53174.091581342436,51,FALSE
1984,"GROUPER, WARSAW",Snappers & Groupers,108870.99999999999,92153.85916760404,48,FALSE
1984,"JACK, CREVALLE",Jacks,1369529.9999999998,195142.5126238547,66,FALSE
1984,"SNAPPER, LANE",Snappers & Groupers,36996,32320.94063324538,50,FALSE
1984,"SNAPPER, SILK",Snappers & Groupers,3788,2633,5,FALSE
1984,"TILEFISH, GOLDEN",Other Reef Fish,320633,269192.0541915211,70,FALSE
1985,"GROUPER, GOLIATH",Snappers & Groupers,114715,71094,46,FALSE
1985,"GROUPER, WARSAW",Snappers & Groupers,127325.99999999999,108487.34739860712,53,FALSE
1985,"JACK, CREVALLE",Jacks,1152145.0000000002,188839.7823606845,71,FALSE
1985,"SNAPPER, BLACK",Snappers & Groupers,680,1153,4,FALSE
1985,"SNAPPER, BLACKFIN",Snappers & Groupers,2676,3271,5,FALSE
1985,"SNAPPER, LANE",Snappers & Groupers,47991.99999999999,44429.91108417805,62,FALSE
1985,"TILEFISH, GOLDEN",Other Reef Fish,303868,265877.76006348926,76,FALSE
1986,"GROUPER, BLACK",Snappers & Groupers,1275679.5449875274,442509.9380925436,178,FALSE
1986,"GROUPER, GOLIATH",Snappers & Groupers,103780.58642092434,7106.181151536251,61,FALSE
1986,"GROUPER, MARBLED",Snappers & Groupers,2801,3325,4,FALSE
1986,"GROUPER, NASSAU",Snappers & Groupers,5450.584445554446,6.237662337662339,23,FALSE
1986,"GROUPER, SNOWY",Snappers & Groupers,112575.0200167269,36391.61956749007,48,FALSE
1986,"GROUPER, WARSAW",Snappers & Groupers,222358.8,101453.2,61,FALSE
1986,"GROUPER, YELLOWFIN",Snappers & Groupers,480169.6680162885,96245.2285534225,44,FALSE
1986,"HIND, SPECKLED",Snappers & Groupers,1251,1420,3,FALSE
1986,"JACK, CREVALLE",Jacks,1087793.2944412748,6783.618585459287,78,FALSE
1986,"SNAPPER, BLACK",Snappers & Groupers,5210,7096,7,FALSE
1986,"SNAPPER, BLACKFIN",Snappers & Groupers,5840,6139,6,FALSE
1986,"SNAPPER, LANE",Snappers & Groupers,59215.548778421755,14935.388534700549,99,FALSE
1986,"SNAPPER, QUEEN",Snappers & Groupers,17561,25377,5,FALSE
1986,"SNAPPER, SILK",Snappers & Groupers,19008.198602648485,3444.0372490706304,46,FALSE
1986,"TILEFISH, BLUELINE",Other Reef Fish,109632.32,15766.8,66,FALSE
1986,"TILEFISH, GOLDEN",Other Reef Fish,291687.8414558515,96318.06969470218,57,FALSE
1986,"TUNA, SKIPJACK",Jacks,1183.7021309931322,0.5,12,FALSE
1987,"GROUPER, BLACK",Snappers & Groupers,1236520.1455624653,254539.36105089472,196,FALSE
1987,"GROUPER, GOLIATH",Snappers & Groupers,95455.54656404785,6965.122198430235,69,FALSE
1987,"GROUPER, MARBLED",Snappers & Groupers,830,1020,3,FALSE
1987,"GROUPER, NASSAU",Snappers & Groupers,13929.9,37.1,24,FALSE
1987,"GROUPER, SNOWY",Snappers & Groupers,120055.1623076923,62827.710448355785,47,FALSE
1987,"GROUPER, WARSAW",Snappers & Groupers,221834.64747580045,169984.42128071483,72,FALSE
1987,"GROUPER, YELLOWFIN",Snappers & Groupers,32247.143725490194,5747.061437908496,36,FALSE
1987,"HIND, RED",Snappers & Groupers,184,228,3,FALSE
1987,"HIND, ROCK",Snappers & Groupers,404,517,3,FALSE
1987,"HIND, SPECKLED",Snappers & Groupers,1346,1654,4,FALSE
1987,"JACK, CREVALLE",Jacks,1579195,2572.74,90,FALSE
1987,"SNAPPER, BLACK",Snappers & Groupers,3495,4340,10,FALSE
1987,"SNAPPER, LANE",Snappers & Groupers,52470.77533669914,12537.294689374006,103,FALSE
1987,"SNAPPER, QUEEN",Snappers & Groupers,39190,51113,6,FALSE
1987,"SNAPPER, SILK",Snappers & Groupers,37129.60842105263,4034.6768373636796,52,FALSE
1987,"TILEFISH, BLUELINE",Other Reef Fish,194542.88,36652.090000000004,74,FALSE
1987,"TILEFISH, GOLDEN",Other Reef Fish,463955.15298816323,317439.9179546614,74,FALSE
1987,"TUNA, SKIPJACK",Jacks,2481.25,0,9,FALSE
1988,"GROUPER, BLACK",Snappers & Groupers,863988.5988149702,1524681.0154287338,203,FALSE
1988,"GROUPER, GOLIATH",Snappers & Groupers,132296.12678202966,98468.41733363474,73,FALSE
1988,"GROUPER, MARBLED",Snappers & Groupers,2067,2168,4,FALSE
1988,"GROUPER, NASSAU",Snappers & Groupers,3663.9333793103438,1320.6771034482758,18,FALSE
1988,"GROUPER, SNOWY",Snappers & Groupers,177449.12175591206,275696.5480117061,53,FALSE
1988,"GROUPER, WARSAW",Snappers & Groupers,274045.21219760954,295788.35297211155,81,FALSE
1988,"GROUPER, YELLOWFIN",Snappers & Groupers,36027.450462487155,55355.51989722508,22,FALSE
1988,"HIND, SPECKLED",Snappers & Groupers,3457,4874,5,FALSE
1988,"JACK, CREVALLE",Jacks,1461682.9568406753,322026.49309140304,103,FALSE
1988,"SNAPPER, BLACK",Snappers & Groupers,7962,12006,9,FALSE
1988,"SNAPPER, LANE",Snappers & Groupers,58120.509748070195,53449.26780406313,114,FALSE
1988,"SNAPPER, QUEEN",Snappers & Groupers,19641,26559,8,FALSE
1988,"SNAPPER, SILK",Snappers & Groupers,94727.64840121317,148534.684237435,57,FALSE
1988,"TILEFISH, BLUELINE",Other Reef Fish,203356.68,162103.35,78,FALSE
1988,"TILEFISH, GOLDEN",Other Reef Fish,866311.664,980026.2815,89,FALSE
1988,"TUNA, SKIPJACK",Jacks,1055.4772727272727,436.59090909090907,11,FALSE
1989,"GROUPER, BLACK",Snappers & Groupers,1300198.808550062,2111538.803145654,239,FALSE
1989,"GROUPER, GOLIATH",Snappers & Groupers,87750.38,75657.21999999999,47,FALSE
1989,"GROUPER, MARBLED",Snappers & Groupers,4480,7809,5,FALSE
1989,"GROUPER, NASSAU",Snappers & Groupers,4171.969122807018,6238.847777777778,18,FALSE
1989,"GROUPER, SNOWY",Snappers & Groupers,80425.35847952557,109319.78758646316,63,FALSE
1989,"GROUPER, WARSAW",Snappers & Groupers,223675.063,227415.546,103,FALSE
1989,"GROUPER, YELLOWFIN",Snappers & Groupers,142309.8737767221,228441.73287410926,26,FALSE
1989,"HIND, SPECKLED",Snappers & Groupers,1004,1059,9,FALSE
1989,"JACK, CREVALLE",Jacks,2003398.8536189196,350036.6378608091,112,FALSE
1989,"SNAPPER, BLACK",Snappers & Groupers,13721,23993,14,FALSE
1989,"SNAPPER, LANE",Snappers & Groupers,94819.83508511104,73809.45458957434,121,FALSE
1989,"SNAPPER, QUEEN",Snappers & Groupers,9809,18099,9,FALSE
1989,"SNAPPER, SILK",Snappers & Groupers,46181.2958988764,78631.46747191012,49,FALSE
1989,"TILEFISH, BLUELINE",Other Reef Fish,86158.88,77183.52,71,FALSE
1989,"TILEFISH, GOLDEN",Other Reef Fish,442660.1902738787,532499.7732816059,88,FALSE
1989,"TUNA, SKIPJACK",Jacks,11691.25,3210.1,12,FALSE
1990,"GROUPER, BLACK",Snappers & Groupers,1314041.72179219,2276458.91403286,211,FALSE
1990,"GROUPER, CONEY",Snappers & Groupers,241,219,10,FALSE
1990,"GROUPER, GOLIATH",Snappers & Groupers,9066.98,7500.98,25,FALSE
1990,"GROUPER, MARBLED",Snappers & Groupers,3088,4273,4,FALSE
1990,"GROUPER, MISTY",Snappers & Groupers,1798,2764,4,FALSE
1990,"GROUPER, NASSAU",Snappers & Groupers,7903.133876363636,11611.729912727273,17,FALSE
1990,"GROUPER, SNOWY",Snappers & Groupers,132597.11888188563,152005.48637675753,71,FALSE
1990,"GROUPER, WARSAW",Snappers & Groupers,164881.0848532055,163256.04008987418,95,FALSE
1990,"GROUPER, YELLOWFIN",Snappers & Groupers,40145.22262806236,65038.58017817372,39,FALSE
1990,"GRUNT, FRENCH",Porgies & Grunts,49,0,4,FALSE
1990,"HIND, RED",Snappers & Groupers,4636.1,362,7,FALSE
1990,"HIND, ROCK",Snappers & Groupers,2473.8,3161.9,12,FALSE
1990,"HIND, SPECKLED",Snappers & Groupers,8915.172581453635,12141.790050125315,17,FALSE
1990,"HOGFISH, SPANISH",Other Reef Fish,1311,1180.42,23,FALSE
1990,"JACK, CREVALLE",Jacks,2397514.2420807583,571133.4895161848,114,FALSE
1990,JACKKNIFE-FISH,Jacks,841,25,18,FALSE
1990,"PARROTFISH, BLUE",Other Reef Fish,86,131.5,7,FALSE
1990,"PARROTFISH, STRIPED",Other Reef Fish,949,563.97,14,FALSE
1990,"SNAPPER, BLACK",Snappers & Groupers,4106.850000000001,2581,9,FALSE
1990,"SNAPPER, BLACKFIN",Snappers & Groupers,11541.34,13116,16,FALSE
1990,"SNAPPER, CUBERA",Snappers & Groupers,501.72,408.15,4,FALSE
1990,"SNAPPER, DOG",Snappers & Groupers,3590.8500000000004,4536.7,3,FALSE
1990,"SNAPPER, GLASSEYE",Snappers & Groupers,12,0,4,FALSE
1990,"SNAPPER, LANE",Snappers & Groupers,79354.64306853851,78500.00427339519,115,FALSE
1990,"SNAPPER, QUEEN",Snappers & Groupers,42613.12,54723.8,13,FALSE
1990,"SNAPPER, SILK",Snappers & Groupers,134471.76057582858,205618.41639325963,56,FALSE
1990,"TILEFISH, BLUELINE",Other Reef Fish,136328.28,120424.6,72,FALSE
1990,"TILEFISH, GOLDEN",Other Reef Fish,296069.52809411316,328745.5319965469,98,FALSE
1990,"TRIGGERFISH, QUEEN",Other Reef Fish,25,43,8,FALSE
1990,"TUNA, SKIPJACK",Jacks,4845.351094894435,1080.772736999473,19,FALSE
1990,"WRASSE, CREOLE",Other Reef Fish,1026,737.19,10,FALSE
1990,"WRASSE, YELLOWHEAD",Other Reef Fish,435,24,12,FALSE
1991,"AMBERJACK, LESSER",Jacks,21461.44,13035.69,21,FALSE
1991,GRAYSBY,Snappers & Groupers,14.44,20.64,3,FALSE
1991,"GROUPER, BLACK",Snappers & Groupers,940643.0622206136,1559498.9545247164,205,FALSE
1991,"GROUPER, CONEY",Snappers & Groupers,149.38,384.57,10,FALSE
1991,"GROUPER, GOLIATH",Snappers & Groupers,798,359,3,FALSE
1991,"GROUPER, MARBLED",Snappers & Groupers,8940,11123,8,FALSE
1991,"GROUPER, NASSAU",Snappers & Groupers,2147.6,2328.6,8,FALSE
1991,"GROUPER, SNOWY",Snappers & Groupers,138626.75094103563,167684.48138896396,65,FALSE
1991,"GROUPER, WARSAW",Snappers & Groupers,151762.95837593984,169269.07384962405,92,FALSE
1991,"GROUPER, YELLOWFIN",Snappers & Groupers,7912.872129505761,7509.524626198338,35,FALSE
1991,"GRUNT, FRENCH",Porgies & Grunts,35,0,3,FALSE
1991,"HIND, RED",Snappers & Groupers,58273.84,86180.75,22,FALSE
1991,"HIND, ROCK",Snappers & Groupers,1889.6,2695.46,12,FALSE
1991,"HIND, SPECKLED",Snappers & Groupers,44900.98,56717.32,21,FALSE
1991,"HOGFISH, SPANISH",Other Reef Fish,1384,1597.8600000000001,17,FALSE
1991,"JACK, ALMACO",Jacks,17724.28,14798.4,8,FALSE
1991,"JACK, CREVALLE",Jacks,1932150.1374921123,454942.4321057899,135,FALSE
1991,JACKKNIFE-FISH,Jacks,524,119,22,FALSE
1991,"PARROTFISH, BLUE",Other Reef Fish,62,100.5,10,FALSE
1991,"PARROTFISH, PRINCESS",Other Reef Fish,11,22,3,FALSE
1991,"PARROTFISH, QUEEN",Other Reef Fish,11,0,4,FALSE
1991,"PARROTFISH, REDBAND",Other Reef Fish,43,16,3,FALSE
1991,"PARROTFISH, STRIPED",Other Reef Fish,712,813.5,16,FALSE
1991,"SNAPPER, BLACK",Snappers & Groupers,2247.642583479789,1126.840919742237,7,FALSE
1991,"SNAPPER, BLACKFIN",Snappers & Groupers,3525.0900000000006,5416.3,16,FALSE
1991,"SNAPPER, CUBERA",Snappers & Groupers,1186.4044391137766,831.851216947082,16,FALSE
1991,"SNAPPER, DOG",Snappers & Groupers,136.52999999999997,236.99999999999997,4,FALSE
1991,"SNAPPER, LANE",Snappers & Groupers,111516.12258063871,121437.7365218434,125,FALSE
1991,"SNAPPER, QUEEN",Snappers & Groupers,36805.56,64442.45,21,FALSE
1991,"SNAPPER, SILK",Snappers & Groupers,127566.36768084754,226897.6810279755,56,FALSE
1991,"TILEFISH, BLUELINE",Other Reef Fish,144421.56,114925.29000000001,73,FALSE
1991,"TILEFISH, GOLDEN",Other Reef Fish,192008.38048396172,208813.92955623442,78,FALSE
1991,"TILEFISH, GOLDFACE",Other Reef Fish,43103,55714.75,5,FALSE
1991,"TILEFISH, SAND",Other Reef Fish,30.48,24.08,4,FALSE
1991,"TRIGGERFISH, QUEEN",Other Reef Fish,15,63.5,7,FALSE
1991,"TUNA, SKIPJACK",Jacks,950.75,703.4,10,FALSE
1991,"WRASSE, CREOLE",Other Reef Fish,1476,1307.5,10,FALSE
1991,"WRASSE, YELLOWHEAD",Other Reef Fish,210,137,12,FALSE
1992,"AMBERJACK, LESSER",Jacks,16715.92,14187.44,25,FALSE
1992,GRAYSBY,Snappers & Groupers,223.44,423.82,4,FALSE
1992,"GROUPER, BLACK",Snappers & Groupers,626187.387037712,1093520.0559838524,143,FALSE
1992,"GROUPER, CONEY",Snappers & Groupers,76,17,10,FALSE
1992,"GROUPER, MARBLED",Snappers & Groupers,40223,50612,6,FALSE
1992,"GROUPER, MISTY",Snappers & Groupers,681.8199999999998,57,3,FALSE
1992,"GROUPER, NASSAU",Snappers & Groupers,7843.24786516854,18079.588127340823,22,FALSE
1992,"GROUPER, SNOWY",Snappers & Groupers,199084.31662248715,313648.17381634854,55,FALSE
1992,"GROUPER, WARSAW",Snappers & Groupers,131899.08517329814,154648.8869531765,87,FALSE
1992,"GROUPER, YELLOWFIN",Snappers & Groupers,3850.8632835820895,6975.886503198294,24,FALSE
1992,"GRUNT, FRENCH",Porgies & Grunts,22,0,4,FALSE
1992,"HIND, RED",Snappers & Groupers,19484.72,17117.6,26,FALSE
1992,"HIND, ROCK",Snappers & Groupers,26135.910666666667,31356.978,12,FALSE
1992,"HIND, SPECKLED",Snappers & Groupers,50366.28323751891,72568.42461422087,22,FALSE
1992,"HOGFISH, SPANISH",Other Reef Fish,1029,310,19,FALSE
1992,"JACK, ALMACO",Jacks,29729.55,25135.25,14,FALSE
1992,"JACK, CREVALLE",Jacks,1919012.7103956293,478970.3522576957,140,FALSE
1992,"JACK, HORSE-EYE",Jacks,3548,1367,3,FALSE
1992,JACKKNIFE-FISH,Jacks,509,240.5,16,FALSE
1992,"PARROTFISH, BLUE",Other Reef Fish,34,6,6,FALSE
1992,"PARROTFISH, PRINCESS",Other Reef Fish,31,7,9,FALSE
1992,"PARROTFISH, REDBAND",Other Reef Fish,46,8,5,FALSE
1992,"PARROTFISH, STOPLIGHT",Other Reef Fish,20,1,6,FALSE
1992,"PARROTFISH, STRIPED",Other Reef Fish,832,0,14,FALSE
1992,"PORGY, RED",Porgies & Grunts,1968,1882,4,FALSE
1992,"SNAPPER, BLACK",Snappers & Groupers,4872.9000000000005,2884.17,3,FALSE
1992,"SNAPPER, BLACKFIN",Snappers & Groupers,4899.7,7907.27,9,FALSE
1992,"SNAPPER, CUBERA",Snappers & Groupers,1604.3912027491408,2193.7614662084766,11,FALSE
1992,"SNAPPER, DOG",Snappers & Groupers,229.57178571428568,235.4410714285714,8,FALSE
1992,"SNAPPER, GLASSEYE",Snappers & Groupers,15,20,3,FALSE
1992,"SNAPPER, LANE",Snappers & Groupers,97862.07988128821,118679.89336365071,127,FALSE
1992,"SNAPPER, MAHOGANY",Snappers & Groupers,1471.1100000000001,456,4,FALSE
1992,"SNAPPER, QUEEN",Snappers & Groupers,29781.75,51079.799999999996,18,FALSE
1992,"SNAPPER, SILK",Snappers & Groupers,317633.5957078408,598810.237657674,55,FALSE
1992,"TILEFISH, BLUELINE",Other Reef Fish,137822.24,105941.075,67,FALSE
1992,"TILEFISH, GOLDEN",Other Reef Fish,220634.32,250693.725,70,FALSE
1992,"TILEFISH, GOLDFACE",Other Reef Fish,48014.29806451613,53710,5,FALSE
1992,"TILEFISH, SAND",Other Reef Fish,177.28,120.7,5,FALSE
1992,"TRIGGERFISH, QUEEN",Other Reef Fish,6,14,4,FALSE
1992,"TUNA, SKIPJACK",Jacks,9516.25,9860.15,13,FALSE
1992,"WRASSE, CREOLE",Other Reef Fish,1356,117,11,FALSE
1992,"WRASSE, YELLOWHEAD",Other Reef Fish,313,66.5,12,FALSE
1993,"AMBERJACK, LESSER",Jacks,27958.68,21211.860000000004,25,FALSE
1993,GRAYSBY,Snappers & Groupers,153.14000000000001,270.92,3,FALSE
1993,"GROUPER, BLACK",Snappers & Groupers,492805.38197679364,885034.0600410951,145,FALSE
1993,"GROUPER, CONEY",Snappers & Groupers,898.76,4545.72,7,FALSE
1993,"GROUPER, MARBLED",Snappers & Groupers,43667,59308,12,FALSE
1993,"GROUPER, NASSAU",Snappers & Groupers,942.8200000000002,2018.4700000000003,10,FALSE
1993,"GROUPER, SNOWY",Snappers & Groupers,131460.988,211164.34,62,FALSE
1993,"GROUPER, WARSAW",Snappers & Groupers,137470.08712878256,180001.11681210416,93,FALSE
1993,"GROUPER, YELLOWFIN",Snappers & Groupers,3137.603339882122,5606.332888015717,28,FALSE
1993,"HIND, RED",Snappers & Groupers,12608.0738790932,14551.11047439127,33,FALSE
1993,"HIND, ROCK",Snappers & Groupers,2110.76,2912.86,12,FALSE
1993,"HIND, SPECKLED",Snappers & Groupers,24941.855,38124.345,30,FALSE
1993,"HOGFISH, SPANISH",Other Reef Fish,459,0,12,FALSE
1993,"JACK, ALMACO",Jacks,24154.8,20726.73,19,FALSE
